,month,ffmc,dmc,temp,rh,dc,area
138,7,85.8,48.3,18.0,42,313.4,0.36
139,9,91.0,129.5,21.7,38,692.6,0.43
140,9,90.9,126.5,21.9,39,686.5,0.47
141,8,95.5,99.9,23.3,31,513.3,0.55
142,8,90.1,108.0,21.2,51,529.8,0.61
143,7,90.0,51.3,16.6,53,296.3,0.71
144,8,95.5,99.9,23.8,32,513.3,0.77
145,8,95.2,131.7,27.4,22,578.8,0.9
146,3,90.1,39.7,13.2,40,86.6,0.95
147,9,84.4,73.4,24.2,28,671.9,0.96
148,8,94.8,108.3,17.4,43,647.1,1.07
149,9,93.7,80.9,23.7,25,685.2,1.12
150,6,92.5,56.4,23.2,39,433.3,1.19
151,7,90.1,68.6,24.8,29,355.2,1.36
152,7,90.1,51.2,24.6,43,424.1,1.43
153,9,94.3,85.1,20.1,47,692.3,1.46
154,9,93.4,145.4,29.6,27,721.4,1.46
155,8,94.8,108.3,16.4,47,647.1,1.56
156,9,93.4,145.4,28.6,27,721.4,1.61
157,8,92.1,111.2,18.4,45,654.1,1.63
158,8,92.1,111.2,20.5,35,654.1,1.64
159,9,92.4,117.9,19.0,34,668.0,1.69
160,3,90.1,39.7,16.1,29,86.6,1.75
161,8,95.2,131.7,20.3,41,578.8,1.9
162,3,90.6,50.1,15.2,31,100.4,1.94
163,9,92.5,121.1,17.8,56,674.4,1.95
164,9,89.7,90.0,17.8,67,704.4,2.01
165,3,84.9,18.2,5.3,70,55.0,2.14
166,8,92.1,111.2,16.6,47,654.1,2.29
167,8,96.0,127.1,23.4,33,570.5,2.51
168,3,91.2,48.3,14.6,26,97.8,2.53
169,8,95.2,131.7,20.7,45,578.8,2.55
170,9,92.9,133.3,21.9,35,699.6,2.57
171,8,85.6,90.4,17.4,50,609.6,2.69
172,8,91.4,142.4,20.1,39,601.4,2.74
173,9,90.9,126.5,17.7,39,686.5,3.07
174,8,90.2,96.9,14.2,53,624.2,3.5
175,8,90.2,96.9,20.3,39,624.2,4.53
176,4,81.5,9.1,5.8,54,55.2,4.61
177,8,90.2,99.6,19.2,44,631.2,4.69
178,9,90.1,82.9,18.3,45,735.7,4.88
179,8,88.8,147.3,14.4,66,614.5,5.23
180,9,92.4,124.1,23.9,32,680.7,5.33
181,10,84.9,32.8,19.1,32,664.2,5.44
182,2,86.8,15.6,12.4,53,48.3,6.38
183,10,91.7,48.5,16.8,45,696.1,6.83
184,8,93.9,135.7,20.8,34,586.7,6.96
185,9,91.0,129.5,17.6,46,692.6,7.04
186,3,89.3,51.3,11.5,39,102.2,7.19
187,9,90.9,126.5,21.0,42,686.5,7.3
188,3,90.8,41.9,13.3,42,89.4,7.4
189,3,90.7,44.0,11.5,60,92.4,8.24
190,3,91.2,48.3,11.7,33,97.8,8.31
191,8,95.2,131.7,24.2,28,578.8,8.68
192,8,94.8,108.3,24.6,22,647.1,8.71
193,9,92.9,133.3,24.3,25,699.6,9.41
194,8,94.8,108.3,24.6,22,647.1,10.01
195,8,93.9,135.7,23.5,36,586.7,10.02
196,4,81.5,9.1,5.8,54,55.2,10.93
197,9,92.9,137.0,21.5,15,706.4,11.06
198,9,91.0,129.5,13.9,59,692.6,11.24
199,9,63.5,70.8,22.6,38,665.3,11.32
200,9,91.0,129.5,21.6,33,692.6,11.53
201,3,90.1,37.6,12.4,54,83.7,12.1
202,2,83.9,8.7,8.8,68,32.1,13.05
203,10,91.4,37.9,20.2,37,673.8,13.7
204,3,90.6,50.1,15.1,64,100.4,13.99
205,9,92.9,137.0,22.1,34,706.4,14.57
206,8,93.5,139.4,22.9,31,594.2,15.45
207,9,91.0,129.5,20.7,37,692.6,17.2
208,9,92.4,117.9,19.6,33,668.0,19.23
209,9,93.7,80.9,23.2,26,685.2,23.41
210,10,90.6,43.7,18.4,25,686.9,24.23
211,8,93.5,139.4,5.1,96,594.2,26.0
212,9,94.3,85.1,20.1,47,692.3,26.13
213,3,87.6,52.2,11.0,46,103.8,27.35
214,3,91.7,35.8,17.0,27,80.8,28.66
215,3,91.7,35.8,17.0,27,80.8,28.66
216,9,92.4,124.1,16.9,60,680.7,29.48
217,9,88.6,91.8,12.4,73,709.9,30.32
218,9,92.9,133.3,19.4,19,699.6,31.72
219,3,90.1,39.7,15.2,27,86.6,31.86
220,8,90.2,99.6,16.2,59,631.2,32.07
221,9,93.3,141.2,18.6,49,713.9,35.88
222,3,87.6,52.2,11.0,46,103.8,36.85
223,7,88.3,150.3,13.4,79,309.9,37.02
224,9,90.1,82.9,15.4,57,735.7,37.71
225,9,93.5,149.3,22.9,39,728.6,48.55
226,10,91.7,48.5,16.1,44,696.1,49.37
227,8,92.2,81.8,20.1,34,480.8,58.3
228,9,93.5,149.3,28.3,26,728.6,64.1
229,8,92.2,81.8,16.4,43,480.8,71.3
230,9,92.9,133.3,26.4,21,699.6,88.49
231,9,93.5,149.3,27.8,27,728.6,95.18
232,9,91.0,129.5,18.7,43,692.6,103.39
233,9,84.4,73.4,24.3,36,671.9,105.66
234,9,92.5,121.1,17.7,25,674.4,154.88
235,8,91.4,142.4,19.6,41,601.4,196.48
236,9,92.5,121.1,18.2,46,674.4,200.94
237,9,91.0,129.5,18.8,40,692.6,212.88
238,9,92.5,121.1,25.1,27,674.4,1090.84
242,8,94.2,122.3,15.4,66,589.9,10.13
244,8,91.8,175.1,22.4,54,700.7,2.87
245,8,91.8,175.1,26.8,38,700.7,0.76
246,8,91.8,175.1,25.7,39,700.7,0.09
247,8,92.2,91.6,20.7,70,503.6,0.75
249,8,93.1,157.3,21.7,40,666.7,2.47
250,8,93.1,157.3,26.8,25,666.7,0.68
251,8,93.1,157.3,24.0,36,666.7,0.24
252,8,93.1,157.3,22.1,37,666.7,0.21
253,8,91.9,109.2,21.4,38,565.5,1.52
254,8,91.6,138.1,18.9,41,621.7,10.34
256,8,94.2,117.2,23.9,41,581.1,8.02
257,8,94.2,117.2,21.4,44,581.1,0.68
259,8,91.8,170.9,23.7,40,692.3,1.38
260,8,93.6,97.9,28.3,32,542.0,8.85
261,8,91.6,112.4,11.2,84,573.0,3.3
262,8,91.6,112.4,21.4,42,573.0,4.25
263,8,91.1,141.1,19.3,39,629.1,1.56
264,8,94.3,167.6,21.8,53,684.4,6.54
265,8,93.7,102.2,22.1,54,550.3,0.79
266,8,94.3,131.7,19.4,55,607.1,0.17
269,8,92.1,152.6,19.1,53,658.2,4.4
270,8,92.1,152.6,21.8,56,658.2,0.52
271,8,92.1,152.6,20.1,58,658.2,9.27
272,8,92.1,152.6,20.2,47,658.2,3.09
273,12,84.4,27.2,4.8,57,353.5,8.98
274,12,84.0,27.8,5.1,61,354.6,11.19
275,12,84.6,26.4,5.1,61,352.0,5.38
276,12,85.4,25.4,4.6,21,349.7,17.85
277,12,85.4,25.4,4.6,21,349.7,10.73
278,12,85.4,25.4,4.6,21,349.7,22.03
279,12,85.4,25.4,4.6,21,349.7,9.77
280,12,84.7,26.7,2.2,59,352.6,9.27
281,12,85.4,25.4,5.1,24,349.7,24.77
283,2,86.9,6.6,8.8,35,18.7,1.1
284,2,85.2,4.9,7.5,46,15.8,24.24
291,7,91.6,104.2,25.3,39,474.9,8.0
292,7,91.6,100.2,22.9,40,466.3,2.64
293,7,93.1,180.4,26.9,28,430.8,86.45
294,7,92.3,88.8,17.1,67,440.9,6.57
296,6,90.4,89.5,14.3,46,290.8,0.9
301,6,90.4,93.3,19.1,39,298.1,3.52
306,9,89.6,84.1,17.1,53,714.3,0.41
307,9,89.6,84.1,23.8,35,714.3,5.18
311,9,92.4,105.8,24.8,28,758.1,14.29
314,9,92.6,115.4,19.7,41,777.1,1.58
317,9,92.4,96.2,19.2,24,739.4,3.78
319,9,92.8,119.0,21.6,28,783.5,4.41
320,9,92.8,119.0,18.9,34,783.5,34.36
321,9,92.8,119.0,16.8,28,783.5,7.21
322,9,92.8,119.0,16.8,28,783.5,1.01
323,9,90.7,136.9,12.9,39,822.8,2.18
324,9,88.1,53.3,13.7,56,726.9,4.42
329,9,92.2,102.3,23.5,27,751.5,3.33
330,9,92.2,102.3,24.2,27,751.5,6.58
331,9,91.2,124.4,21.5,28,795.3,15.64
332,9,91.2,124.4,17.1,41,795.3,11.22
333,9,92.1,87.7,18.1,54,721.1,2.13
337,9,91.6,108.4,23.0,34,764.0,56.04
338,9,91.6,108.4,22.7,35,764.0,7.48
339,9,91.6,108.4,20.4,41,764.0,1.47
340,9,91.6,108.4,19.3,44,764.0,3.93
343,9,91.5,130.1,15.9,51,807.1,2.18
344,9,91.5,130.1,12.2,66,807.1,6.1
345,9,91.5,130.1,16.8,43,807.1,5.83
346,9,91.5,130.1,21.3,35,807.1,28.19
349,9,92.1,99.0,12.8,64,745.3,1.64
350,9,92.1,99.0,10.1,75,745.3,3.71
351,9,92.1,99.0,15.4,53,745.3,7.31
352,9,92.1,99.0,20.6,43,745.3,2.03
353,9,92.1,99.0,19.8,47,745.3,1.72
354,9,92.1,99.0,18.7,50,745.3,5.97
355,9,92.1,99.0,20.8,35,745.3,13.06
356,9,92.1,99.0,20.8,35,745.3,1.26
359,9,92.5,122.0,21.1,39,789.7,8.12
360,9,92.5,122.0,18.4,42,789.7,1.09
361,9,92.5,122.0,17.3,45,789.7,3.94
362,9,88.2,55.2,15.2,64,732.3,0.52
363,9,91.9,111.7,15.9,53,770.3,2.93
364,9,91.9,111.7,21.1,35,770.3,5.65
365,9,91.9,111.7,19.6,45,770.3,20.03
366,9,91.1,132.3,15.9,38,812.1,1.75
368,9,91.2,94.3,16.8,47,744.4,12.64
370,9,91.0,276.3,13.8,77,825.1,11.06
374,9,90.3,290.0,10.3,78,855.3,18.3
375,9,91.2,94.3,15.4,57,744.4,39.35
377,8,93.7,231.1,21.9,42,715.1,174.63
380,7,93.7,101.3,19.3,39,458.8,7.73
381,8,90.7,194.1,16.2,63,643.0,16.33
382,8,95.2,217.7,28.2,29,690.0,5.86
383,8,91.6,248.4,20.5,58,753.8,42.87
384,8,91.6,273.8,21.3,44,819.1,12.18
385,8,91.6,181.3,20.9,50,613.0,16.0
386,9,90.5,96.7,20.6,55,750.5,24.59
388,8,94.8,227.0,23.3,34,706.7,28.74
390,2,84.7,9.5,7.5,71,58.3,9.96
391,9,91.1,91.3,20.7,46,738.1,30.18
392,9,91.0,276.3,21.9,43,825.1,70.76
395,2,85.0,9.0,10.1,62,56.9,51.78
396,9,90.5,96.7,20.4,55,750.5,3.64
397,8,91.6,181.3,24.3,33,613.0,3.63
400,6,93.3,49.5,28.0,34,297.7,8.16
401,9,91.1,88.2,22.8,46,731.7,4.95
404,9,87.9,84.8,21.8,34,725.1,6.04
406,9,87.1,291.3,17.0,67,860.6,3.95
408,9,90.3,290.0,19.9,44,855.3,7.8
411,2,84.6,3.2,8.2,53,43.6,4.62
412,7,92.3,92.1,22.8,27,442.1,1.63
415,8,94.8,222.4,27.5,27,698.6,746.28
416,7,92.7,164.1,26.3,39,575.8,7.02
418,8,92.0,203.2,24.9,42,664.5,2.44
419,8,91.6,181.3,24.8,36,613.0,3.05
420,8,91.7,191.4,26.2,36,635.9,185.76
422,7,88.9,263.1,29.3,27,795.9,6.3
423,9,91.2,94.3,22.3,48,744.4,0.72
424,8,93.7,231.1,26.9,31,715.1,4.96
427,8,92.1,207.0,27.9,33,672.6,2.35
429,8,91.6,181.3,24.6,44,613.0,3.2
431,8,92.1,178.0,23.3,40,605.3,6.36
433,8,93.6,235.1,20.9,66,723.1,15.34
436,8,92.1,207.0,26.8,35,672.6,0.54
438,8,93.7,231.1,23.6,53,715.1,6.43
439,9,91.1,91.3,19.1,46,738.1,0.33
441,8,92.1,207.0,25.5,29,672.6,1.23
442,4,87.9,24.9,10.9,64,41.6,3.35
444,9,90.3,290.0,16.2,58,855.3,9.96
450,8,95.2,217.7,23.4,49,690.0,6.43
451,8,90.5,196.8,11.8,88,649.9,9.71
457,8,91.7,191.4,19.9,50,635.9,82.75
458,8,93.7,231.1,18.9,64,715.1,3.32
459,8,91.6,273.8,15.5,72,819.1,1.94
462,9,91.0,276.3,14.5,76,825.1,3.71
463,2,75.1,4.4,4.6,82,16.2,5.39
464,2,75.1,4.4,5.1,77,16.2,2.14
465,2,79.5,3.6,4.6,59,15.3,6.84
466,3,87.2,15.1,10.2,45,36.9,3.18
467,3,90.2,18.5,11.2,41,41.1,5.55
468,3,91.3,20.6,13.3,27,43.5,6.61
469,4,91.0,14.6,13.7,33,25.6,61.13
471,5,89.6,25.4,18.0,40,73.7,38.48
472,6,88.2,96.2,14.3,79,229.0,1.94
473,6,90.5,61.1,24.5,50,252.6,70.32
474,6,93.0,103.8,26.4,35,316.7,10.08
475,6,93.7,121.7,22.7,40,350.2,3.19
476,7,93.5,85.3,27.2,28,395.0,1.76
477,7,93.7,101.3,26.1,45,423.4,7.36
478,7,93.7,101.3,18.2,82,423.4,2.21
479,7,89.2,103.9,22.6,57,431.6,278.53
480,7,93.2,114.4,30.2,25,560.0,2.75
482,8,94.9,130.3,23.4,40,587.1,1.29
484,8,94.9,130.3,33.1,25,587.1,26.43
485,8,95.0,135.5,30.6,28,596.3,2.07
486,8,95.1,141.3,24.1,43,605.8,2.0
487,8,95.1,141.3,26.4,34,605.8,16.4
488,8,95.1,141.3,19.4,71,605.8,46.7
493,8,95.9,158.0,27.5,29,633.6,43.32
494,8,96.0,164.0,30.8,30,643.0,8.59
496,8,96.2,175.5,32.6,26,661.8,2.77
497,8,96.1,181.1,32.3,27,671.2,14.68
498,8,96.1,181.1,33.3,26,671.2,40.54
499,8,96.1,181.1,27.3,63,671.2,10.82
503,8,94.5,139.4,29.2,30,689.1,1.95
504,8,94.5,139.4,28.9,29,689.1,49.59
505,8,91.0,163.2,26.7,35,744.4,5.8
509,8,91.0,166.9,21.1,71,752.6,2.17
510,8,91.0,166.9,18.2,62,752.6,0.43
512,8,81.6,56.7,27.8,32,665.6,6.44
513,8,81.6,56.7,21.9,71,665.6,54.29
514,8,81.6,56.7,21.2,70,665.6,11.16
